date,redfin,zillow
2023-03-25T05:11:20.708997+00:00,867728,821000
2023-03-26T05:10:09.479254+00:00,867728,821000
2023-03-27T05:11:47.176441+00:00,867728,821000
2023-03-28T05:10:51.546746+00:00,867728,821000
2023-03-29T05:11:08.779285+00:00,867728,821000
2023-03-30T05:11:13.548638+00:00,867728,821000
2023-03-31T05:10:31.759415+00:00,871951,821000
2023-04-01T05:10:04.671130+00:00,871951,821000
2023-04-02T05:10:29.090573+00:00,871951,821000
2023-04-03T05:12:26.741414+00:00,871951,821000
2023-04-04T05:10:20.274798+00:00,871951,821000
2023-04-05T05:11:12.690594+00:00,871951,821000
2023-04-06T05:12:43.008161+00:00,871951,NaN
2023-04-07T05:10:11.974338+00:00,871951,821000
2023-04-08T05:09:54.075096+00:00,871951,821000
2023-04-09T05:09:40.871891+00:00,871951,821000
2023-04-10T05:10:49.002876+00:00,871951,821000
2023-04-11T05:10:15.573804+00:00,871951,821000
2023-04-12T05:10:16.383166+00:00,894389,821000
2023-04-13T05:10:19.358745+00:00,894389,821000
2023-04-14T05:10:23.255168+00:00,894389,821000
2023-04-15T05:09:56.695613+00:00,894389,821000
2023-04-16T05:10:41.101964+00:00,894389,821000
2023-04-17T05:10:51.495414+00:00,894389,831200
2023-04-18T05:11:05.221527+00:00,894389,831200
2023-04-19T05:10:42.225585+00:00,894389,831200
2023-04-20T05:11:01.894837+00:00,872730,835600
2023-04-21T05:10:55.727082+00:00,872730,835600
2023-04-22T05:10:10.688692+00:00,889919,835600
2023-04-23T05:10:55.281689+00:00,889919,835600
2023-04-24T05:11:40.099042+00:00,889919,835600
2023-04-25T05:10:53.715002+00:00,889919,835600
2023-04-26T05:10:36.659092+00:00,889919,841100
2023-04-27T05:12:04.374024+00:00,889919,841100
2023-04-28T05:10:43.819361+00:00,889919,841100
2023-04-29T05:10:34.492683+00:00,889919,841100
2023-04-30T05:11:47.701694+00:00,881125,841100
2023-05-01T05:13:02.412479+00:00,881125,844500
2023-05-02T05:13:14.588061+00:00,881125,NaN
2023-05-03T05:12:50.575618+00:00,881125,NaN
2023-05-04T05:10:47.290453+00:00,881125,844500
2023-05-05T05:11:15.918911+00:00,881125,844500
2023-05-06T05:09:31.736279+00:00,881125,844500
2023-05-07T05:13:06.545994+00:00,881125,NaN
2023-05-08T05:13:16.933336+00:00,871919,NaN
2023-05-09T05:10:13.426978+00:00,871919,848800
2023-05-10T05:10:03.346525+00:00,871919,848800
2023-05-11T05:10:12.073736+00:00,871919,848800
2023-05-12T05:12:52.493832+00:00,887584,NaN
2023-05-13T05:12:10.987351+00:00,887584,848800
2023-05-14T05:12:20.802765+00:00,887584,NaN
2023-05-15T05:13:30.098867+00:00,887584,NaN
2023-05-16T05:11:16.096258+00:00,887584,854000
2023-05-17T05:10:10.024778+00:00,887584,854000
2023-05-18T05:10:38.676461+00:00,887584,854000
2023-05-19T05:09:59.791310+00:00,887584,854000
2023-05-20T05:09:57.811155+00:00,877473,854000
2023-05-21T05:09:48.020827+00:00,877473,854000
2023-05-22T05:10:46.465993+00:00,877473,854000
2023-05-23T05:10:24.243183+00:00,877473,854000
2023-05-24T05:10:10.832531+00:00,877473,854000
2023-05-25T05:10:14.352916+00:00,877473,854000
2023-05-26T05:10:06.559760+00:00,877473,854000
2023-05-27T05:10:02.211718+00:00,877473,854000
2023-05-28T05:09:39.827289+00:00,866355,854000
2023-05-29T05:10:36.093672+00:00,866355,854000
2023-05-30T05:10:19.657950+00:00,866355,854000
2023-05-31T05:09:52.424331+00:00,866355,854000
2023-06-01T05:11:44.918832+00:00,866355,854000
2023-06-02T05:10:24.882611+00:00,866355,854000
2023-06-03T05:09:40.870501+00:00,866355,854000
2023-06-04T05:11:13.354471+00:00,889285,854000
2023-06-05T05:10:18.585915+00:00,889285,854000
2023-06-06T05:10:50.147978+00:00,889285,854000
2023-06-07T05:09:51.553115+00:00,889285,854000
2023-06-08T05:10:23.287889+00:00,889285,854000
2023-06-09T05:10:12.030057+00:00,889285,854000
2023-06-10T05:10:05.869370+00:00,889285,854000
2023-06-11T05:09:40.353515+00:00,882459,856700
2023-06-12T05:11:24.967459+00:00,882459,856700
2023-06-13T05:10:33.594420+00:00,882459,856700
2023-06-14T05:10:33.620765+00:00,882459,856700
2023-06-15T05:11:15.300544+00:00,882459,856700
2023-06-16T05:10:44.671727+00:00,882459,856700
2023-06-17T05:10:04.563113+00:00,878661,856700
2023-06-18T05:10:20.905032+00:00,878661,856700
2023-06-19T05:12:18.278836+00:00,878661,856700
2023-06-20T05:11:06.246692+00:00,878661,856700
2023-06-21T05:10:55.269368+00:00,878661,851100
2023-06-22T05:10:40.828210+00:00,878661,851100
2023-06-23T05:12:14.893968+00:00,878661,851100
2023-06-24T05:11:04.867368+00:00,878661,851100
2023-06-25T05:11:14.950102+00:00,877782,855200
2023-06-26T05:12:12.874125+00:00,877782,855200
2023-06-27T05:11:48.675058+00:00,877782,855200
2023-06-28T05:12:36.496485+00:00,877782,855200
2023-06-29T05:14:17.808222+00:00,877782,858800
2023-06-30T05:11:12.056686+00:00,877782,858800
2023-07-01T05:10:53.368798+00:00,870246,858800
2023-07-02T05:11:14.908982+00:00,870246,858800
2023-07-03T05:12:07.467741+00:00,870246,858800
2023-07-04T05:11:55.886514+00:00,870246,858800
2023-07-05T05:12:21.765394+00:00,870246,858800
2023-07-06T05:12:22.803098+00:00,870246,858800
2023-07-07T05:11:38.191221+00:00,870246,858800
2023-07-08T05:11:24.060438+00:00,873118,858800
2023-07-09T05:11:37.730395+00:00,873118,858800
2023-07-10T05:11:49.690064+00:00,873118,858800
2023-07-11T05:11:36.840023+00:00,873118,851200
2023-07-12T05:11:27.230928+00:00,873118,851200
2023-07-13T05:11:45.048838+00:00,873118,851200
2023-07-14T05:12:08.444399+00:00,873118,851200
2023-07-15T05:11:11.223710+00:00,878755,851200
2023-07-16T05:10:53.681742+00:00,878755,851200
2023-07-17T05:12:10.346371+00:00,878755,851200
2023-07-18T05:10:37.191418+00:00,878755,851200
2023-07-19T05:10:55.622386+00:00,878755,851200
2023-07-20T05:10:29.022784+00:00,878755,851200
2023-07-21T05:10:13.721608+00:00,878755,851200
2023-07-22T05:11:16.066476+00:00,878755,851200
2023-07-23T05:09:47.444980+00:00,878755,846900
2023-07-24T05:10:33.994737+00:00,878755,846900
2023-07-25T05:10:17.789541+00:00,879184,846900
2023-07-26T05:09:47.699349+00:00,879184,846900
2023-07-27T05:09:48.101700+00:00,879184,846900
2023-07-28T05:09:59.309282+00:00,NaN,NaN
2023-07-29T05:09:14.986404+00:00,NaN,NaN
2023-07-30T05:09:19.519577+00:00,NaN,NaN
2023-07-31T05:10:08.897329+00:00,NaN,NaN
2023-08-01T05:10:07.968156+00:00,NaN,NaN
2023-08-02T05:09:48.014467+00:00,NaN,NaN
2023-08-03T05:09:51.128729+00:00,NaN,NaN
2023-08-04T05:10:04.121285+00:00,NaN,NaN
2023-08-05T05:09:28.265364+00:00,NaN,NaN
2023-08-06T05:09:12.833821+00:00,NaN,NaN
2023-08-07T05:10:15.573157+00:00,NaN,NaN
2023-08-08T05:10:09.566456+00:00,NaN,NaN
